ID,Tittel,Pris,Billettstatus,Dato,Order,Klokkeslett,URL,BildeURL,Kategorier,Google Product Category,Dynamisk retargeting,Kategori,event_count_in_category,ad_set_status
48161,Christine Koht,585,in stock,17. mars 2027,48,17. mars 2027,https://www.drammensteater.no/program/48161-christine-koht/,https://cdn.tixly.com/no/tix/EventImages/Feature_48161.jpg,"['Komedie','Standup','Kulturglade','Lattermilde']",499969,yes,Standup,7,ACTIVE
48161,Christine Koht,585,in stock,17. mars 2027,48,17. mars 2027,https://www.drammensteater.no/program/48161-christine-koht/,https://cdn.tixly.com/no/tix/EventImages/Feature_48161.jpg,"['Komedie','Standup','Kulturglade','Lattermilde']",499969,yes,Kulturglade,7,ACTIVE
48161,Christine Koht,585,in stock,17. mars 2027,48,17. mars 2027,https://www.drammensteater.no/program/48161-christine-koht/,https://cdn.tixly.com/no/tix/EventImages/Feature_48161.jpg,"['Komedie','Standup','Kulturglade','Lattermilde']",499969,yes,Lattermilde,12,ACTIVE
47542,Riksteatret: Kakejazz,290,in stock,11. april 2027,49,11. april 2027,https://www.drammensteater.no/program/47542-riksteatret-kakejazz/,https://cdn.tixly.com/no/tix/EventImages/Feature_47542.jpg,"['Barn','Teater','Familie','Riksteatret']",499969,yes,Barn,5,ACTIVE
47542,Riksteatret: Kakejazz,290,in stock,11. april 2027,49,11. april 2027,https://www.drammensteater.no/program/47542-riksteatret-kakejazz/,https://cdn.tixly.com/no/tix/EventImages/Feature_47542.jpg,"['Barn','Teater','Familie','Riksteatret']",499969,yes,Teater,5,ACTIVE
47542,Riksteatret: Kakejazz,290,in stock,11. april 2027,49,11. april 2027,https://www.drammensteater.no/program/47542-riksteatret-kakejazz/,https://cdn.tixly.com/no/tix/EventImages/Feature_47542.jpg,"['Barn','Teater','Familie','Riksteatret']",499969,yes,Familie,6,ACTIVE
47542,Riksteatret: Kakejazz,290,in stock,11. april 2027,49,11. april 2027,https://www.drammensteater.no/program/47542-riksteatret-kakejazz/,https://cdn.tixly.com/no/tix/EventImages/Feature_47542.jpg,"['Barn','Teater','Familie','Riksteatret']",499969,yes,Riksteatret,2,PAUSED
48923,Iselin Guttormsen,610,in stock,13. mai - 14. mai 2027,50,13. mai - 14. mai 2027,https://www.drammensteater.no/program/48923-iselin-guttormsen/,https://cdn.tixly.com/no/tix/EventImages/Feature_48923.jpg,"['Komedie','Show']",499969,yes,Komedie,11,ACTIVE
48923,Iselin Guttormsen,610,in stock,13. mai - 14. mai 2027,50,13. mai - 14. mai 2027,https://www.drammensteater.no/program/48923-iselin-guttormsen/,https://cdn.tixly.com/no/tix/EventImages/Feature_48923.jpg,"['Komedie','Show']",499969,yes,Show,3,ACTIVE
47550,Riksteatret:1984 dub,525,in stock,18. mai 2027,51,18. mai 2027,https://www.drammensteater.no/program/47550-riksteatret1984-dub/,https://cdn.tixly.com/no/tix/EventImages/Feature_47550.jpg,"['Teater','Kulturglade','Riksteatret']",499969,yes,Teater,5,ACTIVE
47550,Riksteatret:1984 dub,525,in stock,18. mai 2027,51,18. mai 2027,https://www.drammensteater.no/program/47550-riksteatret1984-dub/,https://cdn.tixly.com/no/tix/EventImages/Feature_47550.jpg,"['Teater','Kulturglade','Riksteatret']",499969,yes,Kulturglade,7,ACTIVE
47550,Riksteatret:1984 dub,525,in stock,18. mai 2027,51,18. mai 2027,https://www.drammensteater.no/program/47550-riksteatret1984-dub/,https://cdn.tixly.com/no/tix/EventImages/Feature_47550.jpg,"['Teater','Kulturglade','Riksteatret']",499969,yes,Riksteatret,2,PAUSED
